"Plot","Value","date","MAP","Index"
"E7",6.27000008535106e-06,2022-01-16,2,"B1"
"E8",6.27000008535106e-06,2022-01-16,2,"B1"
"E9",6.75999990562559e-06,2022-01-16,2,"B1"
"E10",6.71999987389427e-06,2022-01-16,2,"B1"
"E11",6.27999997959705e-06,2022-01-16,2,"B1"
"E12",6.12000008004543e-06,2022-01-16,2,"B1"
"E13",6.49000003249967e-06,2022-01-16,2,"B1"
"E14",6.40999996903702e-06,2022-01-16,2,"B1"
"E15",6.95000017003622e-06,2022-01-16,2,"B1"
"E16",6.66000005367096e-06,2022-01-16,2,"B1"
"E17",6.61000012769364e-06,2022-01-16,2,"B1"
"K01",6.09000016993377e-06,2022-01-16,2,"B1"
"K02",6.09000016993377e-06,2022-01-16,2,"B1"
"K03",6.26000019110506e-06,2022-01-16,2,"B1"
"K04",6.50999982099165e-06,2022-01-16,2,"B1"
"K05",6.50999982099165e-06,2022-01-16,2,"B1"
"K06",6.19000002188841e-06,2022-01-16,2,"B1"
"K07",6.46999978926033e-06,2022-01-16,2,"B1"
"K08",6.46999978926033e-06,2022-01-16,2,"B1"
"K09",6.88000000081956e-06,2022-01-16,2,"B1"
"K10",6.88000000081956e-06,2022-01-16,2,"B1"
"K11",6.92000003255089e-06,2022-01-16,2,"B1"
"K12",6.53000006423099e-06,2022-01-16,2,"B1"
"K13",6.86000021232758e-06,2022-01-16,2,"B1"
"K14",6.35000014881371e-06,2022-01-16,2,"B1"
"K15",6.35000014881371e-06,2022-01-16,2,"B1"
"S09",6.9100001383049e-06,2022-01-16,2,"B1"
"S13",7.98000019130995e-06,2022-01-16,2,"B1"
"S14",7.98000019130995e-06,2022-01-16,2,"B1"
"S15",8.43999987409916e-06,2022-01-16,2,"B1"
"S16",6.5899998844543e-06,2022-01-16,2,"B1"
"S17",6.9100001383049e-06,2022-01-16,2,"B1"
"S18",6.65000015942496e-06,2022-01-16,2,"B1"
"S19",6.65000015942496e-06,2022-01-16,2,"B1"
"S20",6.79999993735692e-06,2022-01-16,2,"B1"
"S21",6.66999994791695e-06,2022-01-16,2,"B1"
"S22",6.62999991618562e-06,2022-01-16,2,"B1"
"S23",7.25000018064748e-06,2022-01-16,2,"B1"
"S25",7.27999986338546e-06,2022-01-16,2,"B1"
"S26",7.61999990572804e-06,2022-01-16,2,"B1"
"S27",7.27999986338546e-06,2022-01-16,2,"B1"
"S28",7.09999994796817e-06,2022-01-16,2,"B1"
"S29",7.39999995857943e-06,2022-01-16,2,"B1"
"S30",7.51000015952741e-06,2022-01-16,2,"B1"
"S31",7.69999996919069e-06,2022-01-16,2,"B1"
"S32",8.54999962029979e-06,2022-01-16,2,"B1"
"S33",6.9100001383049e-06,2022-01-16,2,"B1"
"E7",8.8299993876717e-06,2022-01-16,2,"B2"
"E8",8.49000025482383e-06,2022-01-16,2,"B2"
"E9",9.02000010682968e-06,2022-01-16,2,"B2"
"E10",8.59000010677846e-06,2022-01-16,2,"B2"
"E11",8.17999989521923e-06,2022-01-16,2,"B2"
"E12",8.12999996924191e-06,2022-01-16,2,"B2"
"E13",8.17999989521923e-06,2022-01-16,2,"B2"
"E14",9.22000072023366e-06,2022-01-16,2,"B2"
"E15",9.43000031838892e-06,2022-01-16,2,"B2"
"E16",9.23999959923094e-06,2022-01-16,2,"B2"
"E17",7.64499964134302e-06,2022-01-16,2,"B2"
"K01",8.9199998001277e-06,2022-01-16,2,"B2"
"K02",6.78500009598793e-06,2022-01-16,2,"B2"
"K03",8.29999953566585e-06,2022-01-16,2,"B2"
"K04",8.69499990585609e-06,2022-01-16,2,"B2"
"K05",9.20999991649296e-06,2022-01-16,2,"B2"
"K06",7.47000012779608e-06,2022-01-16,2,"B2"
"K07",7.87499993748497e-06,2022-01-16,2,"B2"
"K08",9.04999978956766e-06,2022-01-16,2,"B2"
"K09",9.35000025492627e-06,2022-01-16,2,"B2"
"K10",8.60499994814745e-06,2022-01-16,2,"B2"
"K11",9.08999936655164e-06,2022-01-16,2,"B2"
"K12",8.92500020199805e-06,2022-01-16,2,"B2"
"K13",9.32500006456394e-06,2022-01-16,2,"B2"
"K14",7.30000010662479e-06,2022-01-16,2,"B2"
"K15",8.0700001490186e-06,2022-01-16,2,"B2"
"S09",9.160000445263e-06,2022-01-16,2,"B2"
"S13",1.01100004030741e-05,2022-01-16,2,"B2"
"S14",1.04999999166466e-05,2022-01-16,2,"B2"
"S15",1.02100002550287e-05,2022-01-16,2,"B2"
"S16",8.2200003816979e-06,2022-01-16,2,"B2"
"S17",8.95999983185902e-06,2022-01-16,2,"B2"
"S18",8.34999991639052e-06,2022-01-16,2,"B2"
"S19",8.63999957800843e-06,2022-01-16,2,"B2"
"S20",8.21999992695055e-06,2022-01-16,2,"B2"
"S21",8.32000023365254e-06,2022-01-16,2,"B2"
"S22",8.24500011731288e-06,2022-01-16,2,"B2"
"S23",8.8400001914124e-06,2022-01-16,2,"B2"
"S25",9.80000004346948e-06,2022-01-16,2,"B2"
"S26",9.83000063570216e-06,2022-01-16,2,"B2"
"S27",9.45000010688091e-06,2022-01-16,2,"B2"
"S28",8.85000008565839e-06,2022-01-16,2,"B2"
"S29",8.85999997990439e-06,2022-01-16,2,"B2"
"S30",1.04999999166466e-05,2022-01-16,2,"B2"
"S31",1.02349999906437e-05,2022-01-16,2,"B2"
"S32",1.10600003608852e-05,2022-01-16,2,"B2"
"S33",8.73999942996306e-06,2022-01-16,2,"B2"
"E7",1.21600005513756e-05,2022-01-16,2,"B3"
"E8",1.15599996206583e-05,2022-01-16,2,"B3"
"E9",1.24999996842234e-05,2022-01-16,2,"B3"
"E10",1.1730000096577e-05,2022-01-16,2,"B3"
"E11",1.14600006781984e-05,2022-01-16,2,"B3"
"E12",1.12999996417784e-05,2022-01-16,2,"B3"
"E13",1.11599993033451e-05,2022-01-16,2,"B3"
"E14",1.23999998322688e-05,2022-01-16,2,"B3"
"E15",1.23500003610388e-05,2022-01-16,2,"B3"
"E16",1.23199997688062e-05,2022-01-16,2,"B3"
"E17",1.04600003396627e-05,2022-01-16,2,"B3"
"K01",1.1840000297525e-05,2022-01-16,2,"B3"
"K02",9.21499986361596e-06,2022-01-16,2,"B3"
"K03",1.14399999802117e-05,2022-01-16,2,"B3"
"K04",1.19100000119943e-05,2022-01-16,2,"B3"
"K05",1.24799998957315e-05,2022-01-16,2,"B3"
"K06",1.0409999958938e-05,2022-01-16,2,"B3"
"K07",1.11699996523384e-05,2022-01-16,2,"B3"
"K08",1.24799998957315e-05,2022-01-16,2,"B3"
"K09",1.29399995785207e-05,2022-01-16,2,"B3"
"K10",1.21899997793662e-05,2022-01-16,2,"B3"
"K11",1.27200009956141e-05,2022-01-16,2,"B3"
"K12",1.24899997899774e-05,2022-01-16,2,"B3"
"K13",1.32600002871186e-05,2022-01-16,2,"B3"
"K14",1.03200000012293e-05,2022-01-16,2,"B3"
"K15",1.12000006993185e-05,2022-01-16,2,"B3"
"S09",1.28199990285793e-05,2022-01-16,2,"B3"
"S13",1.38300001708558e-05,2022-01-16,2,"B3"
"S14",1.43400002343697e-05,2022-01-16,2,"B3"
"S15",1.37600009111338e-05,2022-01-16,2,"B3"
"S16",1.10999999378691e-05,2022-01-16,2,"B3"
"S17",1.24400003187475e-05,2022-01-16,2,"B3"
"S18",1.16600003821077e-05,2022-01-16,2,"B3"
"S19",1.20200002129423e-05,2022-01-16,2,"B3"
"S20",1.15399998321664e-05,2022-01-16,2,"B3"
"S21",1.15399998321664e-05,2022-01-16,2,"B3"
"S22",1.13599999167491e-05,2022-01-16,2,"B3"
"S23",1.23800000437768e-05,2022-01-16,2,"B3"
"S25",1.2899999092042e-05,2022-01-16,2,"B3"
"S26",1.29999998534913e-05,2022-01-16,2,"B3"
"S27",1.26599998111487e-05,2022-01-16,2,"B3"
"S28",1.22999999803142e-05,2022-01-16,2,"B3"
"S29",1.20200002129423e-05,2022-01-16,2,"B3"
"S30",1.38799996420857e-05,2022-01-16,2,"B3"
"S31",1.34299998535425e-05,2022-01-16,2,"B3"
"S32",1.46599995787255e-05,2022-01-16,2,"B3"
"S33",1.19000005724956e-05,2022-01-16,2,"B3"
"E7",1.73999997059582e-05,2022-01-16,2,"B4"
"E8",1.62200012709945e-05,2022-01-16,2,"B4"
"E9",1.77399997483008e-05,2022-01-16,2,"B4"
"E10",1.63300001077005e-05,2022-01-16,2,"B4"
"E11",1.61999996635132e-05,2022-01-16,2,"B4"
"E12",1.62599990289891e-05,2022-01-16,2,"B4"
"E13",1.58000002556946e-05,2022-01-16,2,"B4"
"E14",1.72599993675249e-05,2022-01-16,2,"B4"
"E15",1.75599998328835e-05,2022-01-16,2,"B4"
"E16",1.76200010173488e-05,2022-01-16,2,"B4"
"E17",1.44099994940916e-05,2022-01-16,2,"B4"
"K01",1.77900001290254e-05,2022-01-16,2,"B4"
"K02",1.23899999380228e-05,2022-01-16,2,"B4"
"K03",1.57600006787106e-05,2022-01-16,2,"B4"
"K04",1.71499996213242e-05,2022-01-16,2,"B4"
"K05",1.80200004251674e-05,2022-01-16,2,"B4"
"K06",1.43399997796223e-05,2022-01-16,2,"B4"
"K07",1.50999994730228e-05,2022-01-16,2,"B4"
"K08",1.83599986485206e-05,2022-01-16,2,"B4"
"K09",1.86399993253872e-05,2022-01-16,2,"B4"
"K10",1.70799994521076e-05,2022-01-16,2,"B4"
"K11",1.86800007213606e-05,2022-01-16,2,"B4"
"K12",1.84800001079566e-05,2022-01-16,2,"B4"
"K13",1.9320000319567e-05,2022-01-16,2,"B4"
"K14",1.44400000863243e-05,2022-01-16,2,"B4"
"K15",1.62800006364705e-05,2022-01-16,2,"B4"
"S09",1.78200007212581e-05,2022-01-16,2,"B4"
"S13",1.9399999473535e-05,2022-01-16,2,"B4"
"S14",2.06599997909507e-05,2022-01-16,2,"B4"
"S15",1.9600000086939e-05,2022-01-16,2,"B4"
"S16",1.48500002978835e-05,2022-01-16,2,"B4"
"S17",1.72599993675249e-05,2022-01-16,2,"B4"
"S18",1.58599996211706e-05,2022-01-16,2,"B4"
"S19",1.62599990289891e-05,2022-01-16,2,"B4"
"S20",1.59299997903872e-05,2022-01-16,2,"B4"
"S21",1.48399994941428e-05,2022-01-16,2,"B4"
"S22",1.48200006151455e-05,2022-01-16,2,"B4"
"S23",1.69200011441717e-05,2022-01-16,2,"B4"
"S25",1.90200007637031e-05,2022-01-16,2,"B4"
"S26",1.96399996639229e-05,2022-01-16,2,"B4"
"S27",1.90400005521951e-05,2022-01-16,2,"B4"
"S28",1.77000001713168e-05,2022-01-16,2,"B4"
"S29",1.61000007210532e-05,2022-01-16,2,"B4"
"S30",1.9600000086939e-05,2022-01-16,2,"B4"
"S31",1.89600013982272e-05,2022-01-16,2,"B4"
"S32",2.16000007640105e-05,2022-01-16,2,"B4"
"S33",1.6699999832781e-05,2022-01-16,2,"B4"
"E7",2.09199988603359e-05,2022-01-16,2,"B5"
"E8",2.01000002562068e-05,2022-01-16,2,"B5"
"E9",2.19400008063531e-05,2022-01-16,2,"B5"
"E10",2.03300005523488e-05,2022-01-16,2,"B5"
"E11",1.94100011867704e-05,2022-01-16,2,"B5"
"E12",1.9540000721463e-05,2022-01-16,2,"B5"
"E13",1.87400000868365e-05,2022-01-16,2,"B5"
"E14",1.97899989871075e-05,2022-01-16,2,"B5"
"E15",2.04600000870414e-05,2022-01-16,2,"B5"
"E16",2.04600000870414e-05,2022-01-16,2,"B5"
"E17",1.90400005521951e-05,2022-01-16,2,"B5"
"K01",2.0720000975416e-05,2022-01-16,2,"B5"
"K02",1.64499997481471e-05,2022-01-16,2,"B5"
"K03",1.99699989025248e-05,2022-01-16,2,"B5"
"K04",2.16199987335131e-05,2022-01-16,2,"B5"
"K05",2.21099999180296e-05,2022-01-16,2,"B5"
"K06",1.95899992831983e-05,2022-01-16,2,"B5"
"K07",1.99799997062655e-05,2022-01-16,2,"B5"
"K08",2.26199990720488e-05,2022-01-16,2,"B5"
"K09",2.3239999791258e-05,2022-01-16,2,"B5"
"K10",2.14800002140692e-05,2022-01-16,2,"B5"
"K11",2.3029999283608e-05,2022-01-16,2,"B5"
"K12",2.32900001719827e-05,2022-01-16,2,"B5"
"K13",2.47799998760456e-05,2022-01-16,2,"B5"
"K14",1.99000005522976e-05,2022-01-16,2,"B5"
"K15",2.0609999410226e-05,2022-01-16,2,"B5"
"S09",2.2000000171829e-05,2022-01-16,2,"B5"
"S13",2.43200011027511e-05,2022-01-16,2,"B5"
"S14",2.47700008912943e-05,2022-01-16,2,"B5"
"S15",2.43200011027511e-05,2022-01-16,2,"B5"
"S16",1.94200001715217e-05,2022-01-16,2,"B5"
"S17",2.20649999391753e-05,2022-01-16,2,"B5"
"S18",2.055000004475e-05,2022-01-16,2,"B5"
"S19",2.05949991141097e-05,2022-01-16,2,"B5"
"S20",2.04799998755334e-05,2022-01-16,2,"B5"
"S21",1.9580000298447e-05,2022-01-16,2,"B5"
"S22",1.950499972736e-05,2022-01-16,2,"B5"
"S23",2.18799996218877e-05,2022-01-16,2,"B5"
"S25",2.18500008486444e-05,2022-01-16,2,"B5"
"S26",2.2210000679479e-05,2022-01-16,2,"B5"
"S27",2.21099999180296e-05,2022-01-16,2,"B5"
"S28",2.20099991565803e-05,2022-01-16,2,"B5"
"S29",2.07900011446327e-05,2022-01-16,2,"B5"
"S30",2.31199992413167e-05,2022-01-16,2,"B5"
"S31",2.28699991566828e-05,2022-01-16,2,"B5"
"S32",2.5909999749274e-05,2022-01-16,2,"B5"
"S33",2.07100001716753e-05,2022-01-16,2,"B5"
"E7",2.55399991146987e-05,2022-01-16,2,"B6"
"E8",2.60399992839666e-05,2022-01-16,2,"B6"
"E9",2.79600008070702e-05,2022-01-16,2,"B6"
"E10",2.53800008067628e-05,2022-01-16,2,"B6"
"E11",2.43899994529784e-05,2022-01-16,2,"B6"
"E12",2.39399996644352e-05,2022-01-16,2,"B6"
"E13",2.38600005104672e-05,2022-01-16,2,"B6"
"E14",2.33600003411993e-05,2022-01-16,2,"B6"
"E15",2.30599998758407e-05,2022-01-16,2,"B6"
"E16",2.40099998336518e-05,2022-01-16,2,"B6"
"E17",2.43800004682271e-05,2022-01-16,2,"B6"
